problem,click_depth,filter_depth,iterative_distance,number_filters,query_frequency,relevant_new_info,number_measures,consideration_time,elapsed_time,number_cells,rqp,iterative_precision,click_per_query,view_area_increase,execution_time,number_aggregations,aggregation_depth,iterative_recall,number_queries,expected_knowledge,log-position,last-position,sequence,score
dibstudent03--2016-09-24--23-01.log-20,1.1498866499,-0.3753098313,-0.2094252255,-0.488242589,0.0335797835,0.2134933391,2.2370719425,-0.0658134073,-0.6461238218,-0.0849678655,0.2468039998,0.9372741394,-0.291077698,-0.1444585767,-0.1469955721,-0.2836421386,-0.5173876397,0.462107829,-0.3295113069,1,33,36,dibstudent03--2016-09-24--23-01.log,0.855308185632607
dibstudent03--2016-09-24--23-01.log-21,0.9143366137,-0.3753098313,-0.7047755645,-0.488242589,0.0008826499,0.2134933391,2.2370719425,-0.3995409531,-0.615002304,-0.0849678655,0.3429764504,0.9372741394,-0.291077698,-0.1444585767,-0.1534457171,-0.2836421386,-0.5173876397,0.956849521,-0.2804099811,1,33,36,dibstudent03--2016-09-24--23-01.log,0.817431532046978
dibstudent03--2016-09-24--23-01.log-22,0.6787865775,-0.3753098313,-0.7047755645,-0.488242589,0.0216884455,0.2134933391,2.2370719425,-0.350051232,-0.6127526976,-0.0849678655,0.439148901,0.9372741394,-0.291077698,-0.1444585767,-0.1280482712,-0.2836421386,-0.5173876397,0.956849521,-0.2313086553,1,33,36,dibstudent03--2016-09-24--23-01.log,0.710282492065182
dibstudent03--2016-09-24--23-01.log-23,0.4432365413,-0.3753098313,-0.7047755645,-0.488242589,0.0345039282,0.2134933391,2.2370719425,-0.3698561707,-0.6062904776,-0.0849678655,0.5353213516,0.9372741394,-0.291077698,-0.1444585767,-0.1530425831,-0.2836421386,-0.5173876397,0.956849521,-0.1822073295,1,33,36,dibstudent03--2016-09-24--23-01.log,0.59566669896519
dibstudent03--2016-09-24--23-01.log-24,0.2076865051,-0.3753098313,-0.7047755645,-0.488242589,0.0498235921,0.2134933391,2.2370719425,-0.305267635,-0.6014863444,-0.0849678655,0.6314938022,0.9372741394,-0.291077698,-0.1444585767,-0.1344984162,-0.2836421386,-0.5173876397,0.956849521,-0.1331060037,1,33,36,dibstudent03--2016-09-24--23-01.log,0.4895015959298
dibstudent03--2016-09-24--23-01.log-25,-0.0278635311,-0.3753098313,-0.7047755645,-0.488242589,0.0545128752,0.2134933391,2.2370719425,-0.3964789557,-0.5910575409,-0.0849678655,0.7276662529,0.9372741394,-0.291077698,-0.1444585767,-0.1280482712,-0.2836421386,-0.5173876397,0.956849521,-0.0840046779,1,33,36,dibstudent03--2016-09-24--23-01.log,0.369666518514719
dibstudent03--2016-09-24--23-01.log-26,-0.2634135673,-0.3753098313,-0.7047755645,-0.488242589,0.0731248297,0.2134933391,2.2370719425,-0.229381385,-0.5886037818,-0.0849678655,0.8238387035,0.9372741394,-0.291077698,-0.1444585767,-0.1469955721,-0.2836421386,-0.5173876397,0.956849521,-0.0349033521,1,33,36,dibstudent03--2016-09-24--23-01.log,0.271085070560517
dibstudent03--2016-09-24--23-01.log-27,-0.4989636035,-0.3753098313,-0.2094252255,-0.488242589,0.0655179084,0.6179604547,1.0632520095,-0.4153336193,-0.5716316206,-0.1296019324,0.9200111541,0.9372741394,-0.291077698,-0.1444585767,-0.1405454272,-0.2836421386,-0.5173876397,0.3103120825,0.0141979737,0,33,36,dibstudent03--2016-09-24--23-01.log,-0.204053023253103
dibstudent03--2016-09-24--23-01.log-28,-0.7345136397,-0.3753098313,-0.2094252255,-0.488242589,0.0859275737,-1.0147223657,-0.1105679236,-0.1490152668,-0.5708137009,-0.1742359992,1.0161836047,0.9372741394,-0.6175567376,-0.1444585767,-0.1469955721,-0.2836421386,-0.5173876397,0.0241397737,0.0632992995,0,33,36,dibstudent03--2016-09-24--23-01.log,-0.645240528641991
dibstudent03--2016-09-24--23-01.log-29,-0.4989636035,-0.3753098313,0.2859251136,-0.488242589,0.066396776,1.1558330873,-0.1105679236,-0.3293111021,-0.5466857237,-0.1296019324,1.1123560553,-1.1869082721,-0.6175567376,2.447327781,-0.0841066585,-0.2836421386,-0.5173876397,-1.1503836119,0.1124006253,0,33,36,dibstudent03--2016-09-24--23-01.log,-1.08250972543811
